PRICE,BR,BATH,SF,LOT
"$599,950.00",3,1,1540,5989
"$690,000.00",3,3,2332,9262
"$899,900.00",4,3,2319,16552
"$749,900.00",3,2,2952,10890
"$1,299,900.00",5,4,4003,12632
"$679,950.00",3,1.75,1650,6155
"$1,000,000.00",4,3.5,2834,12197
"$899,000.00",4,3,2423,12632
"$1,500,000.00",4,4,4000,17424
"$1,298,500.00",3,3,3969,12632
"$899,900.00",4,2.5,2081,9099
"$1,069,000.00",4,3.5,2665,14375
"$849,000.00",4,3.5,3202,5861
"$1,299,000.00",4,2.75,3184,16552
"$999,999.00",4,2.5,2558,19602
"$1,295,000.00",4,4,4003,16553
"$949,000.00",4,2.5,2008,16988
"$575,000.00",2,1,1002,6283
"$1,050,000.00",4,3.25,2660,6050
"$1,349,000.00",4,3,3042,18730
"$860,000.00",3,3,2219,10715
"$1,999,999.00",6,10.5,5897,24364
"$690,000.00",4,3,1650,6240
"$2,290,000.00",5,5.5,6250,21780
